Region,Provincia
Cibao Norte,Santiago
Cibao Norte,Puerto Plata
Cibao Norte,Espaillat
Cibao Sur,La Vega
Cibao Sur,Monseñor Nouel
Cibao Sur,Sánchez Ramírez
Cibao Nordeste,Duarte
Cibao Nordeste,Hermanas Mirabal
Cibao Nordeste,María Trinidad Sánchez
Cibao Nordeste,Samaná
Cibao Noroeste,Valverde
Cibao Noroeste,Santiago Rodríguez
Cibao Noroeste,Monte Cristi
Cibao Noroeste,Dajabón
Valdesia,San Cristóbal
Valdesia,Peravia
Valdesia,San José de Ocoa
Enriquillo,Barahona
Enriquillo,Pedernales
Enriquillo,Bahoruco
Enriquillo,Independencia
El Valle,San Juan
El Valle,Elías Piña
El Valle,Azua
Yuma,La Altagracia
Yuma,La Romana
Yuma,El Seibo
Higuamo,San Pedro de Macorís
Higuamo,Hato Mayor
Higuamo,Monte Plata
Ozama,Distrito Nacional
Ozama,Santo Domingo
