Cod_Capitulo,Capitulo,Cod_SubCapitulo,SubCapitulo,Cod_Unidad_Ejecutora,Unidad_Ejecutora
101,SENADO DE LA REPÚBLICA,1,CÁMARA  DE SENADORES,1,SENADO DE LA REPÚBLICA DOMINICANA
102,CÁMARA DE DIPUTADOS,1,CÁMARA DE DIPUTADOS,1,CÁMARA DE DIPUTADOS
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,1,SECRETARIADO ADMINISTRATIVO DE LA PRESIDENCIA
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,5,GOBERNACIÓN  DEL EDIFICIO GUBERNAMENTAL JUAN PABLO DUARTE
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,9,COMISIÓN PRESIDENCIAL DE APOYO AL DESARROLLO PROVINCIAL
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,10,CONSEJO NACIONAL PARA EL CAMBIO CLIMÁTICO Y MECANISMO DE DESARROLLO LIMPIO
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,12,CONSEJO NACIONAL DE DROGAS
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,18,COMISIÓN PERMANENTE DE EFEMÉRIDES PATRIA
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,24,AUTORIDAD NACIONAL DE ASUNTOS MARÍTIMOS (ANAMAR)
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,29,VICE PRESIDENCIA DE LA REPÚBLICA
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,31,DIRECCION DE PRENSA DEL PRESIDENTE
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,32,DIRECCION DE ESTRATEGIA Y COMUNICACION GUBERNAMENTAL
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,33,ECO5RD
201,PRESIDENCIA DE LA REPÚBLICA,1,MINISTERIO ADMINISTRATIVO DE LA PRESIDENCIA,34,DIRECCIÓN NACIONAL DE CONTROL DE DROGAS (DNCD)
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLÍTICA SOCIAL,1,GABINETE SOCIAL DE LA PRESIDENCIA
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLÍTICA SOCIAL,3,PLAN PRESIDENCIAL CONTRA LA POBREZA
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLÍTICA SOCIAL,4,COMISION PRESIDENCIAL DE APOYO AL DESARROLLO BARRIAL
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLÍTICA SOCIAL,7,PROGRAMA SUPÉRATE
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLÍTICA SOCIAL,8,ADMINISTRADORA DE SUBSIDIOS SOCIALES
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLÍTICA SOCIAL,10,CONSEJO NACIONAL DE LA PERSONA ENVEJECIENTE
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLÍTICA SOCIAL,14,COMEDORES ECONOMICOS DEL ESTADO
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLÍTICA SOCIAL,15,DIRECCIÓN GENERAL DE DESARROLLO DE LA COMUNIDAD
201,PRESIDENCIA DE LA REPÚBLICA,2,GABINETE DE LA POLÍTICA SOCIAL,16,DIRECCION GENERAL DE DESARROLLO FRONTERIZO
201,PRESIDENCIA DE LA REPÚBLICA,4,CONTRALORIA GENERAL DE LA REPUBLICA,1,CONTRALORIA GENERAL DE LA REPUBLICA
201,PRESIDENCIA DE LA REPÚBLICA,6,MINISTERIO DE LA PRESIDENCIA,1,MINISTERIO DE LA PRESIDENCIA
201,PRESIDENCIA DE LA REPÚBLICA,6,MINISTERIO DE LA PRESIDENCIA,4,SERVICIO INTEGRAL DE EMERGENCIAS
201,PRESIDENCIA DE LA REPÚBLICA,6,MINISTERIO DE LA PRESIDENCIA,5,UNIDAD EJECUTORA PARA LA READECUACION DE BARRIOS  Y ENTORNOS (URBE)
201,PRESIDENCIA DE LA REPÚBLICA,6,MINISTERIO DE LA PRESIDENCIA,6,CENTRO DE OPERACIONES DE EMERGENCIAS (COE)
