Cod_Tipo,Tipo,Cod_Concepto,Concepto,Cod_Cuenta,Cuenta,Cod_SubCuenta,SubCuenta,Cod_Auxiliar,Auxiliar
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.1,REMUNERACIONES,2.1.1.1,Remuneraciones al personal fijo,2.1.1.1.01,Sueldos empleados fijos
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.1,REMUNERACIONES,2.1.1.2,Remuneraciones al personal de carácter temporal,2.1.1.2.06,Jornales
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.1,REMUNERACIONES,2.1.1.2,Remuneraciones al personal de carácter temporal,2.1.1.2.09,Personal de carácter eventual
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.1,REMUNERACIONES,2.1.1.3,Sueldos al personal fijo en trámite de pensiones,2.1.1.3.01,Sueldos al personal fijo en trámite de pensiones
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.1,REMUNERACIONES,2.1.1.4,Sueldo anual no.13,2.1.1.4.01,Sueldo Anual No. 13
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.1,REMUNERACIONES,2.1.1.5,Prestaciones económicas,2.1.1.5.03,Prestación laboral por desvinculación
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.1,REMUNERACIONES,2.1.1.5,Prestaciones económicas,2.1.1.5.04,Proporción de vacaciones no disfrutadas
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.2,SOBRESUELDOS,2.1.2.2,Compensación,2.1.2.2.05,Compensación servicios de seguridad
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.2,SOBRESUELDOS,2.1.2.2,Compensación,2.1.2.2.08,Compensaciones especiales
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.2,SOBRESUELDOS,2.1.2.2,Compensación,2.1.2.2.15,Compensación extraordinaria anual
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.3,DIETAS Y GASTOS DE REPRESENTACIÓN,2.1.3.1,Dietas,2.1.3.1.01,Dietas en el país
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.3,DIETAS Y GASTOS DE REPRESENTACIÓN,2.1.3.2,Gastos de representación,2.1.3.2.01,Gastos de representación en el país
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.3,DIETAS Y GASTOS DE REPRESENTACIÓN,2.1.3.2,Gastos de representación,2.1.3.2.02,Gastos de representación en el exterior
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.4,GRATIFICACIONES Y BONIFICACIONES,2.1.4.2,Otras Gratificaciones y Bonificaciones,2.1.4.2.01,Bono escolar
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.5,CONTRIBUCIONES A LA SEGURIDAD SOCIAL,2.1.5.1,Contribuciones al seguro de salud,2.1.5.1.01,Contribuciones al seguro de salud
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.5,CONTRIBUCIONES A LA SEGURIDAD SOCIAL,2.1.5.2,Contribuciones al seguro de pensiones,2.1.5.2.01,Contribuciones al seguro de pensiones
2,GASTOS,2.1,REMUNERACIONES Y CONTRIBUCIONES,2.1.5,CONTRIBUCIONES A LA SEGURIDAD SOCIAL,2.1.5.3,Contribuciones al seguro de riesgo laboral,2.1.5.3.01,Contribuciones al seguro de riesgo laboral
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.1,SERVICIOS BÁSICOS,2.2.1.2,Servicios telefónico de larga distancia,2.2.1.2.01,Servicios telefónico de larga distancia
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.1,SERVICIOS BÁSICOS,2.2.1.3,Teléfono local,2.2.1.3.01,Teléfono local
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.1,SERVICIOS BÁSICOS,2.2.1.4,Telefax y correos,2.2.1.4.01,Telefax y correos
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.1,SERVICIOS BÁSICOS,2.2.1.5,Servicio de internet y televisión por cable,2.2.1.5.01,Servicio de internet y televisión por cable
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.1,SERVICIOS BÁSICOS,2.2.1.6,Electricidad,2.2.1.6.01,Energía eléctrica
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.1,SERVICIOS BÁSICOS,2.2.1.7,Agua,2.2.1.7.01,Agua
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.1,SERVICIOS BÁSICOS,2.2.1.8,Recolección de residuos,2.2.1.8.01,Recolección de residuos
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.2,"PUBLICIDAD, IMPRESIÓN Y ENCUADERNACIÓN",2.2.2.1,Publicidad y propaganda,2.2.2.1.01,Publicidad y propaganda
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.2,"PUBLICIDAD, IMPRESIÓN Y ENCUADERNACIÓN",2.2.2.2,"Impresión, encuadernación y rotulación",2.2.2.2.01,"Impresión, encuadernación y rotulación"
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.3,VIÁTICOS,2.2.3.1,Viáticos dentro del país,2.2.3.1.01,Viáticos dentro del país
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.3,VIÁTICOS,2.2.3.2,Viáticos fuera del país,2.2.3.2.01,Viaticos fuera del país
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.4,TRANSPORTE Y ALMACENAJE,2.2.4.1,Pasajes y gastos de transporte,2.2.4.1.01,Pasajes y gastos de transporte
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.4,TRANSPORTE Y ALMACENAJE,2.2.4.2,Fletes,2.2.4.2.01,Fletes
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.4,TRANSPORTE Y ALMACENAJE,2.2.4.4,Peaje,2.2.4.4.01,Peaje
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.5,ALQUILERES Y RENTAS,2.2.5.1,Alquileres y rentas de edificaciones y locales,2.2.5.1.01,Alquileres y rentas de edificaciones y locales
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.5,ALQUILERES Y RENTAS,2.2.5.3,Alquileres de  equipos,2.2.5.3.02,Alquiler de equipo de tecnología y almacenamiento de datos
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.5,ALQUILERES Y RENTAS,2.2.5.3,Alquileres de  equipos,2.2.5.3.03,Alquiler de equipo de comunicación
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.5,ALQUILERES Y RENTAS,2.2.5.4,"Alquileres de equipos de transporte, tracción y elevación",2.2.5.4.01,"Alquileres de equipos de transporte, tracción y elevación"
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.5,ALQUILERES Y RENTAS,2.2.5.8,Otros alquileres,2.2.5.8.01,Otros alquileres y arrendamientos por derechos de usos
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.5,ALQUILERES Y RENTAS,2.2.5.9,Derecho de uso,2.2.5.9.01,Licencias Informáticas
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.6,SEGUROS,2.2.6.1,Seguro de bienes inmuebles,2.2.6.1.01,Seguro de bienes inmuebles e infraestructura
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.6,SEGUROS,2.2.6.2,Seguro de bienes muebles,2.2.6.2.01,Seguro de bienes muebles
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.6,SEGUROS,2.2.6.3,Seguros de personas,2.2.6.3.01,Seguros de personas
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.7,"SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES",2.2.7.1,Contratación de mantenimiento y reparaciones menores,2.2.7.1.01,Reparaciones y mantenimientos menores en edificaciones
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.7,"SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES",2.2.7.1,Contratación de mantenimiento y reparaciones menores,2.2.7.1.02,Mantenimientos y reparaciones especiales
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.7,"SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES",2.2.7.1,Contratación de mantenimiento y reparaciones menores,2.2.7.1.06,Mantenimiento y reparación de instalaciones eléctricas
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.7,"SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES",2.2.7.1,Contratación de mantenimiento y reparaciones menores,2.2.7.1.07,"Mantenimiento, reparación, servicios de pintura y sus derivados"
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.7,"SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES",2.2.7.2,Mantenimiento y reparación  de maquinarias y equipos,2.2.7.2.01,Mantenimiento y reparación de mobiliarios y equipos de oficina
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.7,"SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES",2.2.7.2,Mantenimiento y reparación  de maquinarias y equipos,2.2.7.2.02,Mantenimiento y reparación de equipos tecnología e información
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.7,"SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES",2.2.7.2,Mantenimiento y reparación  de maquinarias y equipos,2.2.7.2.05,Mantenimiento y reparación de equipo de comunicación y audiovisuales
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.7,"SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES",2.2.7.2,Mantenimiento y reparación  de maquinarias y equipos,2.2.7.2.06,"Mantenimiento y reparación de equipos de transporte, tracción y elevación"
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.7,"SERVICIOS DE CONSERVACIÓN, REPARACIONES MENORES E INSTALACIONES TEMPORALES",2.2.7.3,Instalaciones temporales,2.2.7.3.01,Instalaciones temporales
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.8,OTROS SERVICIOS NO INCLUIDOS EN CONCEPTOS ANTERIORES,2.2.8.1,Gastos y representación judiciales,2.2.8.1.01,Gastos judiciales
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.8,OTROS SERVICIOS NO INCLUIDOS EN CONCEPTOS ANTERIORES,2.2.8.2,Comisiones y gastos,2.2.8.2.01,Comisiones y gastos
2,GASTOS,2.2,CONTRATACIÓN DE SERVICIOS,2.2.8,OTROS SERVICIOS NO INCLUIDOS EN CONCEPTOS ANTERIORES,2.2.8.4,Servicios funerarios y gastos conexos,2.2.8.4.01,Servicios funerarios y gastos conexos
