Periodo_Anio,Mes_Imputacion,Nombre_Mes
2025,2025/01,Enero
2025,2025/02,Febrero
2025,2025/03,Marzo
2025,2025/04,Abril
2025,2025/05,Mayo
2025,2025/06,Junio
2025,2025/07,Julio
2025,2025/08,Agosto
2025,2025/09,Septiembre
2025,2025/10,Octubre
2025,2025/11,Noviembre
2025,2025/12,Diciembre
2024,2024/01,Enero
2024,2024/02,Febrero
2024,2024/03,Marzo
2024,2024/04,Abril
2024,2024/05,Mayo
2024,2024/06,Junio
2024,2024/07,Julio
2024,2024/08,Agosto
2024,2024/09,Septiembre
2024,2024/10,Octubre
2024,2024/11,Noviembre
2024,2024/12,Diciembre
2023,2023/01,Enero
2023,2023/02,Febrero
2023,2023/03,Marzo
2023,2023/04,Abril
2023,2023/05,Mayo
2023,2023/06,Junio
2023,2023/07,Julio
2023,2023/08,Agosto
2023,2023/09,Septiembre
2023,2023/10,Octubre
2023,2023/11,Noviembre
2023,2023/12,Diciembre
2022,2022/01,Enero
2022,2022/02,Febrero
2022,2022/03,Marzo
2022,2022/04,Abril
2022,2022/05,Mayo
2022,2022/06,Junio
2022,2022/07,Julio
2022,2022/08,Agosto
2022,2022/09,Septiembre
2022,2022/10,Octubre
2022,2022/11,Noviembre
2022,2022/12,Diciembre
2021,2021/01,Enero
2021,2021/02,Febrero
2021,2021/03,Marzo
2021,2021/04,Abril
2021,2021/05,Mayo
2021,2021/06,Junio
2021,2021/07,Julio
2021,2021/08,Agosto
2021,2021/09,Septiembre
2021,2021/10,Octubre
2021,2021/11,Noviembre
2021,2021/12,Diciembre
2020,2020/01,Enero
2020,2020/02,Febrero
2020,2020/03,Marzo
2020,2020/04,Abril
2020,2020/05,Mayo
2020,2020/06,Junio
2020,2020/07,Julio
2020,2020/08,Agosto
2020,2020/09,Septiembre
2020,2020/10,Octubre
2020,2020/11,Noviembre
2020,2020/12,Diciembre
2019,2019/01,Enero
2019,2019/02,Febrero
2019,2019/03,Marzo
2019,2019/04,Abril
2019,2019/05,Mayo
2019,2019/06,Junio
2019,2019/07,Julio
2019,2019/08,Agosto
2019,2019/09,Septiembre
2019,2019/10,Octubre
2019,2019/11,Noviembre
2019,2019/12,Diciembre
2018,2018/01,Enero
2018,2018/02,Febrero
2018,2018/03,Marzo
2018,2018/04,Abril
2018,2018/05,Mayo
2018,2018/06,Junio
2018,2018/07,Julio
2018,2018/08,Agosto
2018,2018/09,Septiembre
2018,2018/10,Octubre
2018,2018/11,Noviembre
2018,2018/12,Diciembre
2017,2017/01,Enero
2017,2017/02,Febrero
2017,2017/03,Marzo
2017,2017/04,Abril
2017,2017/05,Mayo
2017,2017/06,Junio
2017,2017/07,Julio
2017,2017/08,Agosto
2017,2017/09,Septiembre
2017,2017/10,Octubre
2017,2017/11,Noviembre
2017,2017/12,Diciembre
